team,player_id,player_name,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,NP,IP,H,2B,3B,HR,SAC,SF,BB,IBB,SO,WP,BK,R,ER,BSV,WHIP,AVG,QS
SK,52809,전영준,4.61,34,0,0,1,5,0,0,0.167,228,993,52 2/3,48,9,0,5,3,1,26,1,55,3,0,28,27,0,1.41,0.249,0
SK,68092,한두솔,4.95,44,0,0,2,0,1,3,1.000,169,649,36 1/3,46,5,0,1,2,2,19,1,27,1,0,22,20,1,1.79,0.317,0
SK,77829,김광현,5.00,28,0,0,10,10,0,0,0.500,636,2453,144,164,28,1,13,5,3,50,1,138,6,0,86,80,0,1.49,0.286,9
SK,62869,문승원,5.13,23,0,0,4,7,0,0,0.364,452,1783,105 1/3,109,23,3,16,6,4,38,0,61,4,0,61,60,0,1.40,0.273,5
SK,53898,송영진,5.83,21,0,0,2,5,0,0,0.286,288,1070,63 1/3,77,5,1,10,3,4,31,1,40,2,0,45,41,0,1.71,0.312,1
SK,54803,최현석,6.23,13,0,0,0,0,0,0,-,77,290,17 1/3,21,2,0,5,0,0,6,0,11,1,0,13,12,0,1.56,0.304,0
SK,61895,서진용,6.75,2,0,0,0,0,0,0,-,7,27,1 1/3,1,0,0,0,0,0,3,0,0,0,0,1,1,0,3.00,0.250,0
SK,60841,박종훈,7.11,5,0,0,0,2,0,0,0.000,90,370,19,15,1,0,4,1,1,18,0,10,0,0,17,15,0,1.74,0.231,1
SK,66858,정동윤,8.31,12,0,0,0,0,0,0,-,82,317,17 1/3,21,6,0,2,1,1,12,0,17,1,0,16,16,0,1.90,0.309,0
NC,54944,데이비슨,0.00,1,0,0,0,0,0,0,-,1,2,1/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.000,0
NC,65933,구창모,2.51,4,0,0,1,0,0,0,1.000,59,250,14 1/3,14,3,0,1,0,0,3,0,18,1,0,4,4,0,1.19,0.250,0
NC,68900,김영규,2.86,45,0,0,4,3,0,21,0.571,189,762,44,40,4,0,3,5,5,18,4,35,6,0,17,14,1,1.32,0.253,0
NC,65949,류진욱,3.27,62,0,0,4,3,29,0,0.571,275,1061,66,50,7,1,6,2,1,28,3,57,5,0,27,24,1,1.18,0.210,0
NC,67954,김진호,3.36,76,0,0,4,3,6,20,0.571,316,1303,72 1/3,53,12,1,5,2,1,45,1,70,9,1,30,27,5,1.35,0.205,0
NC,55903,라일리,3.45,30,0,0,17,7,0,0,0.708,709,2916,172,136,25,2,18,4,4,56,0,216,5,0,76,66,0,1.12,0.212,16
NC,52902,임지민,3.86,7,0,0,0,1,0,1,0.000,20,84,4 2/3,1,0,0,0,0,1,5,0,7,0,0,2,2,1,1.29,0.071,0
NC,69969,전사민,4.26,74,0,0,7,7,2,13,0.500,370,1341,82 1/3,86,12,2,3,8,3,33,4,62,7,0,45,39,4,1.45,0.273,0
NC,54904,손주환,4.35,52,0,0,6,1,0,7,0.857,224,807,51 2/3,53,5,0,5,1,2,19,0,37,0,0,29,25,0,1.39,0.264,0
NC,64995,배재환,4.48,70,0,0,2,4,2,24,0.333,271,1117,60 1/3,48,6,1,3,6,0,37,4,51,6,0,36,30,3,1.41,0.221,0
