day,time,team1,team1_score,team1_result,team2,team2_score,team2_result,stadium,note
2025.06.07,17:00,NC,,,삼성,,,대구,-
2025.06.07,17:00,SSG,,,KT,,,수원,-
2025.06.07,17:00,한화,,,KIA,,,광주,-
2025.06.07,17:00,LG,,,키움,,,고척,-
2025.06.08,14:00,LG,,,키움,,,고척,-
2025.06.08,17:00,롯데,,,두산,,,잠실,-
2025.06.08,17:00,NC,,,삼성,,,대구,-
2025.06.08,17:00,SSG,,,KT,,,수원,-
2025.06.08,17:00,한화,,,KIA,,,광주,-
2025.06.10,18:30,SSG,,,LG,,,잠실,-
2025.06.10,18:30,롯데,,,KT,,,수원,-
2025.06.10,18:30,삼성,,,KIA,,,광주,-
2025.06.10,18:30,NC,,,키움,,,고척,-
2025.06.10,18:30,두산,,,한화,,,대전(신),-
2025.06.11,18:30,SSG,,,LG,,,잠실,-
2025.06.11,18:30,롯데,,,KT,,,수원,-
2025.06.11,18:30,삼성,,,KIA,,,광주,-
2025.06.11,18:30,NC,,,키움,,,고척,-
2025.06.11,18:30,두산,,,한화,,,대전(신),-
2025.06.12,18:30,SSG,,,LG,,,잠실,-
2025.06.12,18:30,롯데,,,KT,,,수원,-
2025.06.12,18:30,삼성,,,KIA,,,광주,-
2025.06.12,18:30,NC,,,키움,,,고척,-
2025.06.12,18:30,두산,,,한화,,,대전(신),-
2025.06.13,18:30,키움,,,두산,,,잠실,-
2025.06.13,18:30,롯데,,,SSG,,,문학,-
2025.06.13,18:30,KT,,,삼성,,,대구,-
2025.06.13,18:30,KIA,,,NC,,,창원,-
2025.06.13,18:30,LG,,,한화,,,대전(신),-
2025.06.14,17:00,키움,,,두산,,,잠실,-
2025.06.14,17:00,롯데,,,SSG,,,문학,-
2025.06.14,17:00,KT,,,삼성,,,대구,-
2025.06.14,17:00,KIA,,,NC,,,창원,-
2025.06.14,17:00,LG,,,한화,,,대전(신),-
2025.06.15,17:00,키움,,,두산,,,잠실,-
2025.06.15,17:00,롯데,,,SSG,,,문학,-
2025.06.15,17:00,KT,,,삼성,,,대구,-
2025.06.15,17:00,KIA,,,NC,,,창원,-
2025.06.15,17:00,LG,,,한화,,,대전(신),-
2025.06.17,18:30,NC,,,LG,,,잠실,-
2025.06.17,18:30,한화,,,롯데,,,사직,-
2025.06.17,18:30,두산,,,삼성,,,대구,-
2025.06.17,18:30,KT,,,KIA,,,광주,-
2025.06.17,18:30,SSG,,,키움,,,고척,-
2025.06.18,18:30,NC,,,LG,,,잠실,-
2025.06.18,18:30,한화,,,롯데,,,사직,-
2025.06.18,18:30,두산,,,삼성,,,대구,-
2025.06.18,18:30,KT,,,KIA,,,광주,-
2025.06.18,18:30,SSG,,,키움,,,고척,-
2025.06.19,18:30,NC,,,LG,,,잠실,-
2025.06.19,18:30,한화,,,롯데,,,사직,-
2025.06.19,18:30,두산,,,삼성,,,대구,-
2025.06.19,18:30,KT,,,KIA,,,광주,-
2025.06.19,18:30,SSG,,,키움,,,고척,-
2025.06.20,18:30,두산,,,LG,,,잠실,-
2025.06.20,18:30,KIA,,,SSG,,,문학,-
2025.06.20,18:30,삼성,,,롯데,,,사직,-
2025.06.20,18:30,NC,,,KT,,,수원,-
2025.06.20,18:30,키움,,,한화,,,대전(신),-
2025.06.21,17:00,두산,,,LG,,,잠실,-
2025.06.21,17:00,KIA,,,SSG,,,문학,-
2025.06.21,17:00,삼성,,,롯데,,,사직,-
2025.06.21,17:00,NC,,,KT,,,수원,-
2025.06.21,17:00,키움,,,한화,,,대전(신),-
2025.06.22,17:00,두산,,,LG,,,잠실,-
2025.06.22,17:00,KIA,,,SSG,,,문학,-
2025.06.22,17:00,삼성,,,롯데,,,사직,-
2025.06.22,17:00,NC,,,KT,,,수원,-
2025.06.22,17:00,키움,,,한화,,,대전(신),-
2025.06.24,18:30,SSG,,,두산,,,잠실,-
2025.06.24,18:30,한화,,,삼성,,,대구,-
2025.06.24,18:30,롯데,,,NC,,,창원,-
2025.06.24,18:30,LG,,,KT,,,수원,-
2025.06.24,18:30,KIA,,,키움,,,고척,-
2025.06.25,18:30,SSG,,,두산,,,잠실,-
2025.06.25,18:30,한화,,,삼성,,,대구,-
2025.06.25,18:30,롯데,,,NC,,,창원,-
2025.06.25,18:30,LG,,,KT,,,수원,-
2025.06.25,18:30,KIA,,,키움,,,고척,-
2025.06.26,18:30,SSG,,,두산,,,잠실,-
2025.06.26,18:30,한화,,,삼성,,,대구,-
2025.06.26,18:30,롯데,,,NC,,,창원,-
2025.06.26,18:30,LG,,,KT,,,수원,-
2025.06.26,18:30,KIA,,,키움,,,고척,-
2025.06.27,18:30,KIA,,,LG,,,잠실,-
2025.06.27,18:30,한화,,,SSG,,,문학,-
2025.06.27,18:30,KT,,,롯데,,,사직,-
2025.06.27,18:30,두산,,,NC,,,창원,-
2025.06.27,18:30,삼성,,,키움,,,고척,-
2025.06.28,17:00,KIA,,,LG,,,잠실,-
2025.06.28,17:00,한화,,,SSG,,,문학,-
2025.06.28,17:00,KT,,,롯데,,,사직,-
2025.06.28,17:00,두산,,,NC,,,창원,-
2025.06.28,17:00,삼성,,,키움,,,고척,-
2025.06.29,14:00,삼성,,,키움,,,고척,-
2025.06.29,17:00,KIA,,,LG,,,잠실,-
2025.06.29,17:00,한화,,,SSG,,,문학,-
2025.06.29,17:00,KT,,,롯데,,,사직,-
2025.06.29,17:00,두산,,,NC,,,창원,-
2025.07.01,18:30,삼성,,,두산,,,잠실,-
2025.07.01,18:30,LG,,,롯데,,,사직,-
2025.07.01,18:30,키움,,,KT,,,수원,-
2025.07.01,18:30,SSG,,,KIA,,,광주,-
2025.07.01,18:30,NC,,,한화,,,대전(신),-
2025.07.02,18:30,삼성,,,두산,,,잠실,-
2025.07.02,18:30,LG,,,롯데,,,사직,-
2025.07.02,18:30,키움,,,KT,,,수원,-
2025.07.02,18:30,SSG,,,KIA,,,광주,-
2025.07.02,18:30,NC,,,한화,,,대전(신),-
2025.07.03,18:30,삼성,,,두산,,,잠실,-
2025.07.03,18:30,LG,,,롯데,,,사직,-
2025.07.03,18:30,키움,,,KT,,,수원,-
2025.07.03,18:30,SSG,,,KIA,,,광주,-
2025.07.03,18:30,NC,,,한화,,,대전(신),-
2025.07.04,18:30,KT,,,두산,,,잠실,-
2025.07.04,18:30,LG,,,삼성,,,대구,-
2025.07.04,18:30,SSG,,,NC,,,창원,-
2025.07.04,18:30,롯데,,,KIA,,,광주,-
2025.07.04,18:30,한화,,,키움,,,고척,-
2025.07.05,18:00,KT,,,두산,,,잠실,-
2025.07.05,18:00,LG,,,삼성,,,대구,-
2025.07.05,18:00,SSG,,,NC,,,창원,-
2025.07.05,18:00,롯데,,,KIA,,,광주,-
2025.07.05,18:00,한화,,,키움,,,고척,-
